Geographic Area,Job No,Job Description,Phase No,Phase Description,Cost Code,Cost Code Description,Source,Date,Class,Category,Dollars,Hours/Units,Comment,Quantity, % ,Type
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","       195","Fuel/Parking/Mileage","A/P",05/04/2020,"OTH"," ",34.54,"0","11427 WEX Enterprise Fleet Mngt",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","       195","Fuel/Parking/Mileage","A/P",05/21/2020,"OTH"," ",31.10,"0","11427 WEX Enterprise Fleet Mngt",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2200","Plumbing Misc","A/P",05/04/2020,"MAT"," ",39.20,"0","11200 Marshall's Tile & Stone",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2200","Plumbing Misc","A/P",05/04/2020,"OTH"," ",139.00,"0","MISC Servi-Tech Laboratories",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2200","Plumbing Misc","AP2",05/07/2020,"OTH"," ",-2.78,"0","Discount on CO Lab Analysis fo",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2210","Plumbing Rough-In","A/P",05/05/2020,"MAT"," ",6.30,"0","10363 Ferguson Enterprises Wyoming",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2220","Plumbing Trim-Out","A/P",05/06/2020,"MAT"," ",29.77,"0","10315 Earth Elements",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2220","Plumbing Trim-Out","A/P",05/17/2020,"MAT"," ",82.59,"0","10363 Ferguson Enterprises Wyoming",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2220","Plumbing Trim-Out","A/P",05/19/2020,"MAT"," ",29.24,"0","10363 Ferguson Enterprises Wyoming",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2241","Plumbing Trim & Fixtures","A/P",05/08/2020,"MAT"," ",81.02,"0","10315 Earth Elements",0,0,""
WY - Wyoming,="    170925","Circle M Ranch Build","         1","NO PHASE","      2370","Radiant","A/P",05/21/2020,"MAT"," ",53.75,"0","10363 Ferguson Enterprises Wyoming",0,0,""
WY - Wyoming,="    180399","Janney Build","         1","NO PHASE","      2309","Controls","A/P",05/05/2020,"MAT"," ",92.06,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="    180399","Janney Build","         1","NO PHASE","      2309","Controls","A/P",05/19/2020,"MAT"," ",-6.88,"0","11103 Wilson Gas",0,0,""
